     NODOS    D.PRESCRITOS    F.PRESCRITAS
        49              14              24
    PUNTOS     COORDENADAS
         1      1.0000000000000      0.0000000000000
         2      1.5000000000000      0.0000000000000
         3      2.0000000000000      0.0000000000000
         4      2.5000000000000      0.0000000000000
         5      3.0000000000000      0.0000000000000
         6      3.5000000000000      0.0000000000000
         7      4.0000000000000      0.0000000000000
         8      0.9589010495405      0.0928756457561
         9      1.4670964112428      0.1487207382687
        10      1.9747535582948      0.2427027507259
        11      2.4818724906965      0.3748216831276
        12      2.9884532084480      0.5450775354739
        13      3.4944957115491      0.7534703077647
        14      4.0000000000000      1.0000000000000
        15      0.8276650429450      0.3276650429450
        16      1.3195590576007      0.5278923909340
        17      1.8261844635311      0.8261844635311
        18      2.3475412607362      1.2225412607362
        19      2.8836294492161      1.7169627825494
        20      3.4344490289707      2.3094490289707
        21      4.0000000000000      3.0000000000000
        22      0.6035533905933      0.6035533905933
        23      0.9816342990231      0.9816342990231
        24      1.4349126180415      1.4349126180415
        25      1.9633883476483      1.9633883476483
        26      2.5670614878437      2.5670614878437
        27      3.2459320386276      3.2459320386276
        28      4.0000000000000      4.0000000000000
        29      0.3276650429450      0.8276650429450
        30      0.5278923909340      1.3195590576007
        31      0.8261844635311      1.8261844635311
        32      1.2225412607362      2.3475412607362
        33      1.7169627825494      2.8836294492161
        34      2.3094490289707      3.4344490289707
        35      3.0000000000000      4.0000000000000
        36      0.0928756457561      0.9589010495405
        37      0.1487207382687      1.4670964112428
        38      0.2427027507259      1.9747535582948
        39      0.3748216831276      2.4818724906965
        40      0.5450775354739      2.9884532084480
        41      0.7534703077647      3.4944957115491
        42      1.0000000000000      4.0000000000000
        43      0.0000000000000      1.0000000000000
        44      0.0000000000000      1.5000000000000
        45      0.0000000000000      2.0000000000000
        46      0.0000000000000      2.5000000000000
        47      0.0000000000000      3.0000000000000
        48      0.0000000000000      3.5000000000000
        49      0.0000000000000      4.0000000000000
DESPLAZAMIENTO PRESCRITO      
    1     0     1      0.0000000000000      0.0000000000000
    2     0     1      0.0000000000000      0.0000000000000
    3     0     1      0.0000000000000      0.0000000000000
    4     0     1      0.0000000000000      0.0000000000000
    5     0     1      0.0000000000000      0.0000000000000
    6     0     1      0.0000000000000      0.0000000000000
    7     0     1      0.0000000000000      0.0000000000000
   43     1     0      0.0000000000000      0.0000000000000
   44     1     0      0.0000000000000      0.0000000000000
   45     1     0      0.0000000000000      0.0000000000000
   46     1     0      0.0000000000000      0.0000000000000
   47     1     0      0.0000000000000      0.0000000000000
   48     1     0      0.0000000000000      0.0000000000000
   49     1     0      0.0000000000000      0.0000000000000
FUERZAS PRESCRITAS            
    1       0.0000000000000e+00       8.3805287938890e-01
    2       0.0000000000000e+00       6.6666666666667e-01
    3       0.0000000000000e+00       5.0000000000000e-01
    4       0.0000000000000e+00       4.0000000000000e-01
    5       0.0000000000000e+00       3.3333333333333e-01
    6       0.0000000000000e+00       2.8571428571429e-01
    7       8.6178638957110e-01       1.7677669529664e-01
    8       6.0817739921344e-01       1.4059994771838e+00
   14       1.0920476304878e+00      -5.6060137551651e-01
   15       2.0815452701299e+00       2.8876028388272e+00
   21       7.6396800000000e-01      -3.6480000000000e-01
   22      -2.0815280171309e-02      -9.4368957093138e-16
   28       4.7920386809863e-01       1.2490009027033e-16
   29      -3.3523615128318e+00      -1.6670970001940e+00
   35       1.7280000000000e-01       1.1232000000000e-01
   36      -2.1392971511182e+00      -4.1779568545432e-01
   42       4.4646696373470e-01       3.9443509954006e-02
   43      -2.5141586381667e+00      -4.6184344931693e-16
   44      -2.2222222222222e+00      -3.6739403974421e-16
   45      -1.8750000000000e+00      -2.7554552980815e-16
   46      -1.6800000000000e+00      -2.2043642384652e-16
   47      -1.5555555555556e+00      -1.8369701987210e-16
   48      -1.4693877551020e+00      -1.5745458846180e-16
   49      -9.9436891104358e-01      -9.7420056326493e-17
NORMALES                      
   24
    1     -0.5455890132215     -0.8380528793889
    2     -0.0000000000000     -1.0000000000000
    3     -0.0000000000000     -1.0000000000000
    4     -0.0000000000000     -1.0000000000000
    5     -0.0000000000000     -1.0000000000000
    6     -0.0000000000000     -1.0000000000000
    7      0.7071067811865     -0.7071067811865
    8     -0.8946489661450     -0.4467697699887
   14      1.0000000000000      0.0000000000000
   15     -0.8276148775840     -0.5612963694891
   21      1.0000000000000     -0.0000000000000
   22     -0.7071067811865     -0.7071067811865
   28      0.7071067811865      0.7071067811865
   29     -0.5612963694891     -0.8276148775840
   35     -0.0000000000000      1.0000000000000
   36     -0.4467697699887     -0.8946489661450
   42     -0.0000000000000      1.0000000000000
   43     -0.8380528793889     -0.5455890132215
   44     -1.0000000000000     -0.0000000000000
   45     -1.0000000000000     -0.0000000000000
   46     -1.0000000000000     -0.0000000000000
   47     -1.0000000000000     -0.0000000000000
   48     -1.0000000000000     -0.0000000000000
   49     -0.7071067811865      0.7071067811865
END
